id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM044,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Jaciparaná,between Santo Antonio and Jirau rapids,vazante_seca,setembro,2009,60.0,2500.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Acestrorhynchus spp.,100.0,False
BM045,caparari,Pseudoplatystoma tigrinum,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,77.0,6000.0,2,100.0,False,0.0,0.0,30.0,0.0,70.0,0.0,100.0,2,Potamorhina latior,70.0,True
BM046,caparari,Pseudoplatystoma tigrinum,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,70.0,4000.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM047,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,74.0,5000.0,3,100.0,False,0.0,0.0,40.0,0.0,60.0,0.0,100.0,2,Mylossoma spp.,60.0,True
BM048,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,69.0,4000.0,2,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Curimatidae,100.0,False
BM049,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,,,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM050,jau,Zungaro zungaro,Zungaro,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,maio,2009,137.0,,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Calophysus macropterus,100.0,False
BM051,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,maio,2009,68.0,3500.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Pimelodus spp.,100.0,False
BM052,barbachata,Pinirampus pirinampu,Pinirampus,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,outubro,2009,442.0,1131.38,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2,Pimelodina flavipinnis,50.0,True
BM053,barbachata,Pinirampus pirinampu,Pinirampus,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,setembro,2009,44.0,1000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
